arrival_date,n,seven_avg
2021-01-26,2,2
2021-01-29,2,2
2021-02-01,2,2
2021-02-02,13,8.571428571428571
2021-02-03,15,9.285714285714286
2021-02-05,14,10.428571428571429
2021-02-06,12,11.714285714285714
2021-02-07,7,11.285714285714286
2021-02-09,10,9.571428571428571
2021-02-10,11,8.571428571428571
2021-02-11,10,7.285714285714286
2021-02-12,3,8.571428571428571
2021-02-13,7,10.142857142857142
2021-02-14,3,12
2021-02-15,16,11.857142857142858
2021-02-16,21,14.428571428571429
2021-02-17,24,15.714285714285714
2021-02-18,9,15.571428571428571
2021-02-19,21,14.428571428571429
2021-02-20,16,12
2021-02-21,2,11.857142857142858
2021-02-22,8,12.142857142857142
2021-02-23,4,11.571428571428571
2021-02-24,23,9.714285714285714
2021-02-25,11,13.285714285714286
2021-02-26,17,19.428571428571427
2021-02-27,3,20.142857142857142
2021-02-28,27,25.285714285714285
2021-03-01,51,33.857142857142854
2021-03-02,9,34.142857142857146
2021-03-03,59,41.714285714285715
2021-03-04,71,39.42857142857143
2021-03-05,19,44.285714285714285
2021-03-06,56,45.42857142857143
2021-03-07,11,45.857142857142854
2021-03-08,85,37.857142857142854
2021-03-09,17,43.285714285714285
2021-03-10,62,37
2021-03-11,15,44.714285714285715
2021-03-12,57,37.285714285714285
2021-03-13,12,44
2021-03-14,65,36.57142857142857
2021-03-15,33,38.714285714285715
2021-03-16,64,41.714285714285715
2021-03-17,10,41.57142857142857
2021-03-18,30,33.57142857142857
2021-03-19,78,33.857142857142854
2021-03-20,11,34.57142857142857
2021-03-21,9,41.857142857142854
2021-03-22,35,41
2021-03-23,69,37.57142857142857
2021-03-24,61,42.57142857142857
2021-03-25,24,50.714285714285715
2021-03-26,54,59.57142857142857
2021-03-27,46,64
2021-03-28,66,68.71428571428571
2021-03-29,97,68.28571428571429
2021-03-30,100,73.71428571428571
2021-03-31,94,68.42857142857143
2021-04-01,21,63.857142857142854
2021-04-02,92,59
2021-04-03,9,53.142857142857146
2021-04-04,34,49.142857142857146
2021-04-05,63,53.42857142857143
2021-04-06,59,46
2021-04-07,66,52.714285714285715
2021-04-08,51,49.142857142857146
2021-04-09,40,41
2021-04-10,56,39.42857142857143
2021-04-11,9,38
2021-04-12,6,34.142857142857146
2021-04-13,48,35.714285714285715
2021-04-14,56,34.142857142857146
2021-04-15,24,34
2021-04-16,51,41.57142857142857
2021-04-17,45,36.714285714285715
2021-04-18,8,34.285714285714285
2021-04-19,59,38.57142857142857
2021-04-20,14,37.57142857142857
2021-04-21,39,31.428571428571427
2021-04-22,54,34.142857142857146
2021-04-23,44,31.714285714285715
2021-04-24,2,34.714285714285715
2021-04-25,27,34.714285714285715
2021-04-26,42,33.714285714285715
2021-04-27,35,32
2021-04-28,39,40.42857142857143
2021-04-29,47,39.714285714285715
2021-04-30,32,41.57142857142857
2021-05-01,61,45.714285714285715
2021-05-02,22,46
2021-05-03,55,46
2021-05-04,64,47.142857142857146
2021-05-05,41,40.714285714285715
2021-05-06,47,41
2021-05-07,40,41.142857142857146
2021-05-08,16,40.57142857142857
2021-05-09,24,38.285714285714285
2021-05-10,56,37.57142857142857
2021-05-11,60,36.42857142857143
2021-05-12,25,37.42857142857143
2021-05-13,42,35
2021-05-14,32,30.857142857142858
2021-05-15,23,29.142857142857142
2021-05-16,7,32.142857142857146
2021-05-17,27,28.714285714285715
2021-05-18,48,29.285714285714285
2021-05-19,46,37.42857142857143
2021-05-20,18,38.714285714285715
2021-05-21,36,42.857142857142854
2021-05-22,80,42.142857142857146
2021-05-23,16,40.714285714285715
2021-05-24,56,43.142857142857146
2021-05-25,43,45.57142857142857
2021-05-26,36,37.142857142857146
2021-05-27,35,40.857142857142854
2021-05-28,53,38.857142857142854
2021-05-29,21,46.714285714285715
2021-05-30,42,51.42857142857143
2021-05-31,42,52.857142857142854
2021-06-01,98,50.857142857142854
2021-06-02,69,51.57142857142857
2021-06-03,45,54.857142857142854
2021-06-04,39,59.857142857142854
2021-06-05,26,57.42857142857143
2021-06-06,65,58.285714285714285
2021-06-07,77,62.857142857142854
2021-06-08,81,66.14285714285714
2021-06-09,75,67.85714285714286
2021-06-10,77,67.57142857142857
2021-06-11,62,65.14285714285714
2021-06-12,38,62
2021-06-13,63,62
2021-06-14,60,64.71428571428571
2021-06-15,59,61.857142857142854
2021-06-16,75,58.142857142857146
2021-06-17,96,52.42857142857143
2021-06-18,42,55.714285714285715
2021-06-19,12,60.42857142857143
2021-06-20,23,64.28571428571429
2021-06-21,83,57.857142857142854
2021-06-22,92,63.714285714285715
2021-06-23,102,74.85714285714286
2021-06-24,51,85.57142857142857
2021-06-25,83,87.42857142857143
2021-06-26,90,87.57142857142857
2021-06-27,98,87.57142857142857
2021-06-28,96,92.42857142857143
2021-06-29,93,92.85714285714286
2021-06-30,102,93
2021-07-01,85,94.14285714285714
2021-07-02,86,95.28571428571429
2021-07-03,91,96
2021-07-04,106,94.14285714285714
2021-07-05,104,96.57142857142857
2021-07-06,98,91.85714285714286
2021-07-07,89,84.85714285714286
2021-07-08,102,78.28571428571429
2021-07-09,53,76.28571428571429
2021-07-10,42,80.14285714285714
2021-07-11,60,86.71428571428571
2021-07-12,90,84.57142857142857
2021-07-13,125,86.42857142857143
2021-07-14,135,87.28571428571429
2021-07-15,87,80.57142857142857
2021-07-16,66,86
2021-07-17,48,87.85714285714286
2021-07-18,13,79.42857142857143
2021-07-19,128,75
2021-07-20,138,75.28571428571429
2021-07-21,76,69
2021-07-22,56,72
2021-07-23,68,62.714285714285715
2021-07-24,4,54.142857142857146
2021-07-25,34,48.714285714285715
2021-07-26,63,49.57142857142857
2021-07-27,78,46.285714285714285
2021-07-28,38,50.285714285714285
2021-07-29,62,50.142857142857146
2021-07-30,45,46.57142857142857
2021-07-31,32,38.857142857142854
2021-08-01,33,42.57142857142857
2021-08-02,38,45.285714285714285
2021-08-03,24,52
2021-08-04,64,54.57142857142857
2021-08-05,81,56.857142857142854
2021-08-06,92,64.85714285714286
2021-08-07,50,80.28571428571429
2021-08-08,49,91.57142857142857
2021-08-09,94,94.14285714285714
2021-08-10,132,98.57142857142857
2021-08-11,143,95.57142857142857
2021-08-12,99,96.71428571428571
2021-08-13,123,90.42857142857143
2021-08-14,29,90.14285714285714
2021-08-15,57,76.71428571428571
2021-08-16,50,87.57142857142857
2021-08-17,130,82.57142857142857
2021-08-18,49,86.85714285714286
2021-08-19,175,83.71428571428571
2021-08-20,88,86.42857142857143
2021-08-21,59,75.85714285714286
2021-08-22,35,74.71428571428571
2021-08-23,69,57.142857142857146
2021-08-24,56,61.714285714285715
2021-08-25,41,67.57142857142857
2021-08-26,52,71.42857142857143
2021-08-27,120,74.28571428571429
2021-08-28,100,75.71428571428571
2021-08-29,62,78.85714285714286
2021-08-30,89,80.71428571428571
2021-08-31,66,71.14285714285714
2021-09-01,63,65.14285714285714
2021-09-02,65,66.14285714285714
2021-09-03,53,61
2021-09-04,58,57.857142857142854
2021-09-05,69,58.57142857142857
2021-09-06,53,58.285714285714285
2021-09-07,44,62.857142857142854
2021-09-08,68,62.57142857142857
2021-09-09,63,61.142857142857146
2021-09-10,85,60.42857142857143
2021-09-11,56,66.71428571428571
2021-09-12,59,68.28571428571429
2021-09-13,48,67.71428571428571
2021-09-14,88,63.42857142857143
2021-09-15,79,71.14285714285714
2021-09-16,59,83.85714285714286
2021-09-17,55,90.42857142857143
2021-09-18,110,105.28571428571429
2021-09-19,148,114.71428571428571
2021-09-20,94,122.42857142857143
2021-09-21,192,125.71428571428571
2021-09-22,145,120.28571428571429
2021-09-23,113,137.85714285714286
2021-09-24,78,136.42857142857142
2021-09-25,72,141.85714285714286
2021-09-26,271,142.42857142857142
2021-09-27,84,146.71428571428572
2021-09-28,230,146.14285714285714
2021-09-29,149,143.28571428571428
2021-09-30,143,123
2021-10-01,74,133.71428571428572
2021-10-02,52,120.57142857142857
2021-10-03,129,122.14285714285714
2021-10-04,159,126.42857142857143
2021-10-05,138,132.28571428571428
2021-10-06,160,144.28571428571428
2021-10-07,173,133.28571428571428
2021-10-08,115,121.71428571428571
2021-10-09,136,130.57142857142858
2021-10-10,52,131
2021-10-11,78,121.85714285714286
2021-10-12,200,112.42857142857143
2021-10-13,163,94.71428571428571
2021-10-14,109,91.28571428571429
2021-10-15,49,82.42857142857143
2021-10-16,12,54
2021-10-18,28,31
2021-10-19,16,15.571428571428571
2021-10-20,1,12.285714285714286
2021-10-21,2,11.142857142857142
2021-10-23,1,12.571428571428571
2021-10-24,26,15
2021-10-25,4,21.142857142857142
2021-10-26,38,26.285714285714285
2021-10-27,33,33.57142857142857
2021-10-28,44,30
2021-10-29,38,33.714285714285715
2021-10-30,52,33.714285714285715
2021-10-31,1,36.714285714285715
2021-11-01,30,39.42857142857143
2021-11-02,38,45.285714285714285
2021-11-03,54,44.142857142857146
2021-11-04,63,53.142857142857146
2021-11-05,79,58.857142857142854
2021-11-06,44,67
2021-11-07,64,72
2021-11-08,70,72.14285714285714
2021-11-09,95,81.42857142857143
2021-11-10,89,95.57142857142857
2021-11-11,64,103.85714285714286
2021-11-12,144,108.14285714285714
2021-11-13,143,113
2021-11-14,122,117.14285714285714
2021-11-15,100,121
2021-11-16,129,115.28571428571429
2021-11-17,118,111.14285714285714
2021-11-18,91,103
2021-11-19,104,101.71428571428571
2021-11-20,114,97.85714285714286
2021-11-21,65,89
2021-11-22,91,83.14285714285714
2021-11-23,102,78.42857142857143
2021-11-24,56,77.85714285714286
2021-11-25,50,84
2021-11-26,71,84.57142857142857
2021-11-27,110,85.57142857142857
2021-11-28,108,90.14285714285714
2021-11-29,95,88.28571428571429
2021-11-30,109,78.57142857142857
2021-12-01,88,65.71428571428571
2021-12-02,37,52.857142857142854
2021-12-03,3,42.714285714285715
2021-12-04,20,49.857142857142854
2021-12-05,18,39
2021-12-06,24,35.42857142857143
2021-12-07,159,49.42857142857143
2021-12-08,12,68.57142857142857
2021-12-09,12,66.42857142857143
2021-12-10,101,86.14285714285714
2021-12-11,154,70.71428571428571
2021-12-12,3,79.14285714285714
2021-12-13,162,78.57142857142857
2021-12-14,51,69.28571428571429
2021-12-15,71,72.57142857142857
2021-12-16,8,112.28571428571429
2021-12-17,36,101.14285714285714
2021-12-18,177,116
2021-12-19,281,127.28571428571429
2021-12-20,84,145.42857142857142
2021-12-21,155,182.28571428571428
2021-12-22,150,193.42857142857142
2021-12-23,135,164.71428571428572
2021-12-24,294,164.28571428571428
2021-12-25,255,162.14285714285714
2021-12-26,80,162.71428571428572
2021-12-27,81,157.14285714285714
2021-12-28,140,153.28571428571428
2021-12-29,154,163.42857142857142
2021-12-30,96,174.71428571428572
2021-12-31,267,190.71428571428572
2022-01-01,326,180.14285714285714
2022-01-02,159,173.57142857142858
2022-01-03,193,167
2022-01-04,66,143.28571428571428
2022-01-05,108,111.85714285714286
2022-01-06,50,108.57142857142857
2022-01-07,101,101
2022-01-08,106,105.57142857142857
2022-01-09,136,103.57142857142857
2022-01-10,140,111.28571428571429
2022-01-11,98,110.71428571428571
2022-01-12,94,109.57142857142857
2022-01-13,104,104.14285714285714
2022-01-14,97,98.57142857142857
2022-01-15,98,102.14285714285714
2022-01-16,98,104.42857142857143
2022-01-17,101,98.71428571428571
2022-01-18,123,85
2022-01-19,110,85
2022-01-20,64,85
2022-01-21,1,85
